Add New Category,Adauga Categorie Noua
Preview and Next Font,Previzualizeaza Fontarea si Urmatoarea
Display Prev. & Next Font Links,Arata Link-urile pentru Preview si urmatorul
Font List,Lista Fontari
Fonts Per Page,Fontari pe Pagina
Use Lazy Loading,Foloseste Incarcarea Lazy
Automatically load more fonts on page.,Incarca Automat mai multe fontari pe pagina
Auto Triger Padding (px),Distantare declansata Automat (px)
Author,Author
Display Author Information,Arata Informatii despre Autor
Display Font List By Author,Arata Lista Fontarilor dupa Autor
Sidebar,Bara Laterala
Search Form Widget,Widget pt Cautare
Categories Widget,Widget Categorii
Recent Fonts Widget,Widget Fontari Recente
Fonts Number,Numarul de Fontari
Archive Widget,Widget Arhiva
Tag Claud Widget,Widget Tag Cloud
Rss Feed,Informatii RSS
Feed Title,Titlu Informatii
Feed Description,Descriere Informatii
Product Page,Pagina Produs
Permalink Settings,Setari Permalink
Font Route,Calea URL Font
Permalink Type,Tipul Permalink
Font Route,Calea URL Fontare
Category Route,Calea URL Categorie
Archive Route,Calea URL Arhiva
Tag Route,Calea URL Tag
Author Route,Calea URL Autor
Search Route,Calea URL Cautare
Social,Social
AddThis Enabled,AdaugaAsta Activat
AddThis ID,AdaugaAsta ID
AddThis Language,AdaugaAsta Limba
Category Top Navigation,Navigare Categorii Top
Display Font Link,Arata Link-ul Font-ului
Font Category,Categorie Font
Leave blank to display fonts from all categories.,Nu completa pentru a afisa fontari din toate categoriile.
Custom Template,Template Personalizat
Published,Publicat
Category Information,Informatii Categorie
Enable Category,Activeaza Categoria
Category Title,Titlu Categorie
Category in Websites,Categorii in Website
-- Please Select --,-- Alege --
Tag Title,Titlu Tag
Font Information,Informatii Fontare
Enable Font,Activeaza Fontarea
Font Title,Titlu Fontare
New Category,Categorie Noua
Additional Options,Optiuni Suplimentare
Featured Image,Imagini Promovate
Publish Date,Data Publicarii
New Tag,Tag Nou
Open Graph Metadata,Open Graph Metadata
OG Title,OG Title
Leave blank to use Meta Title by default.,Leave blank to use Meta Title by default.
OG Description,OG Description
Leave blank to use Meta Description by default.,Leave blank to use Meta Description by default.
OG Image,OG Image
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
Font in Websites,Font in Websites
Related Fonts and Products,Related Fonts and Products
Related fonts are shown to customers in addition to the item the customer is looking at.,Related fonts are shown to customers in addition to the item the customer is looking at.
Add Related Font,Adauga Fontare Similara
Add Related Fonts,Adauga Fontari Similare
Add Selected Fonts,Adauga Fontarile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
